station_uuid,timestamp,e5,e10,diesel,e5_change,e10_change,diesel_change
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-13T23:00:00,1.701,1.626,1.682,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-14T02:21:12,1.742,1.667,1.724,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-14T04:24:46,1.761,1.686,1.743,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-14T07:30:10,1.77,1.695,1.747,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-14T09:30:57,1.772,1.697,1.756,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-14T12:11:20,1.773,1.698,1.756,0,0,0
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-14T15:23:47,1.736,1.661,1.718,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-14T18:30:02,1.714,1.639,1.69,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-14T21:39:19,1.715,1.64,1.695,1,0,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-15T00:07:15,1.745,1.67,1.73,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-15T02:51:01,1.765,1.69,1.749,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-15T06:04:07,1.791,1.716,1.77,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-15T08:49:39,1.8,1.725,1.777,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-15T12:22:46,1.781,1.706,1.762,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-15T14:54:54,1.771,1.696,1.749,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-15T17:42:23,1.737,1.662,1.718,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-15T20:11:58,1.727,1.652,1.71,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-15T22:38:18,1.73,1.655,1.71,1,1,0
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-16T00:43:57,1.759,1.684,1.738,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-16T03:29:44,1.772,1.697,1.75,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-16T07:13:02,1.811,1.736,1.789,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-16T10:29:57,1.803,1.728,1.784,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-16T14:24:25,1.776,1.701,1.759,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-16T18:08:52,1.749,1.674,1.726,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-16T20:27:13,1.743,1.668,1.723,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-16T23:06:07,1.767,1.692,1.744,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-17T02:45:55,1.788,1.713,1.769,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-17T05:44:14,1.812,1.737,1.786,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-17T07:59:38,1.818,1.743,1.8,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-17T10:25:03,1.811,1.736,1.789,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-17T13:02:27,1.794,1.719,1.772,1,1,1
51d4b6c8-a1e1-4c9b-8f2a-000000000001,2026-05-17T15:29:25,1.773,1.698,1.752,1,1,1
